Account|UID|JobID|JobName|State|Start|End|
rrg-bengioy-ad_gpu|3009535|20575533_4|exp_multiview_eye.sh|TIMEOUT|2021-06-05T08:43:25|2021-06-08T08:43:35|
rrg-bengioy-ad_gpu||20575533_4.batch|batch|CANCELLED|2021-06-05T08:43:25|2021-06-08T08:43:39|
rrg-bengioy-ad_gpu||20575533_4.extern|extern|COMPLETED|2021-06-05T08:43:25|2021-06-08T08:43:35|
rrg-bengioy-ad_gpu|3009535|20575533_5|exp_multiview_eye.sh|COMPLETED|2021-06-05T08:49:24|2021-06-08T05:54:32|
rrg-bengioy-ad_gpu||20575533_5.batch|batch|COMPLETED|2021-06-05T08:49:24|2021-06-08T05:54:32|
rrg-bengioy-ad_gpu||20575533_5.extern|extern|COMPLETED|2021-06-05T08:49:24|2021-06-08T05:54:32|
rrg-bengioy-ad_gpu|3083913|20584173|Spurious_sweep_CMNIST|TIMEOUT|2021-06-04T09:23:33|2021-06-08T09:23:56|
rrg-bengioy-ad_gpu||20584173.batch|batch|CANCELLED|2021-06-04T09:23:33|2021-06-08T09:24:01|
rrg-bengioy-ad_gpu||20584173.extern|extern|COMPLETED|2021-06-04T09:23:33|2021-06-08T09:23:56|
rrg-bengioy-ad_gpu|3087405|20592560|job_qm9_implicit.sh|TIMEOUT|2021-06-04T00:26:22|2021-06-08T00:27:57|
rrg-bengioy-ad_gpu||20592560.batch|batch|CANCELLED|2021-06-04T00:26:22|2021-06-08T00:28:02|
rrg-bengioy-ad_gpu||20592560.extern|extern|COMPLETED|2021-06-04T00:26:22|2021-06-08T00:27:58|
rrg-bengioy-ad_gpu|3074329|20620588|run.sh|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20620588.batch|batch|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20620588.extern|extern|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu|3100539|20659277|run.sh|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20659277.batch|batch|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20659277.extern|extern|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu|3100539|20673949|run.sh|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20673949.batch|batch|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu||20673949.extern|extern|RUNNING|2021-06-06T10:20:35|Unknown|
rrg-bengioy-ad_gpu|3060080|20674362|H2Seaquest.sh|TIMEOUT|2021-06-06T05:24:14|2021-06-08T04:24:27|
rrg-bengioy-ad_gpu||20674362.batch|batch|CANCELLED|2021-06-06T05:24:14|2021-06-08T04:24:35|
rrg-bengioy-ad_gpu||20674362.extern|extern|COMPLETED|2021-06-06T05:24:14|2021-06-08T04:24:30|
rrg-bengioy-ad_gpu|3060080|20674365|H1Seaquest.sh|TIMEOUT|2021-06-06T05:24:14|2021-06-08T04:24:27|
rrg-bengioy-ad_gpu||20674365.batch|batch|CANCELLED|2021-06-06T05:24:14|2021-06-08T04:24:35|
rrg-bengioy-ad_gpu||20674365.extern|extern|COMPLETED|2021-06-06T05:24:14|2021-06-08T04:24:28|
rrg-bengioy-ad_gpu|3060080|20674366|H3Seaquest.sh|TIMEOUT|2021-06-06T05:29:49|2021-06-08T04:29:50|
rrg-bengioy-ad_gpu||20674366.batch|batch|CANCELLED|2021-06-06T05:29:49|2021-06-08T04:29:58|
rrg-bengioy-ad_gpu||20674366.extern|extern|COMPLETED|2021-06-06T05:29:49|2021-06-08T04:29:50|
rrg-bengioy-ad_gpu|3087405|20674575|job_qm9_implicit.sh|RUNNING|2021-06-05T23:29:19|Unknown|
rrg-bengioy-ad_gpu||20674575.batch|batch|RUNNING|2021-06-05T23:29:19|Unknown|
rrg-bengioy-ad_gpu||20674575.extern|extern|RUNNING|2021-06-05T23:29:19|Unknown|
rrg-bengioy-ad_gpu|3095176|20677160|slurm_job.slrm|TIMEOUT|2021-06-06T03:18:19|2021-06-08T03:18:36|
rrg-bengioy-ad_gpu||20677160.batch|batch|CANCELLED|2021-06-06T03:18:19|2021-06-08T03:18:39|
rrg-bengioy-ad_gpu||20677160.extern|extern|COMPLETED|2021-06-06T03:18:19|2021-06-08T03:18:36|
rrg-bengioy-ad_gpu|3095176|20677161|slurm_job.slrm|FAILED|2021-06-06T03:24:19|2021-06-08T02:18:57|
